name,artist,genre,intensity,focusing
Silver Strings,The A Sides,Indie Rock,3,1
Vice Rag,A.A. Bondy,Indie Rock,3,0
Oud Over,Ab Baars And Terrie Ex,Jazz,4,0
De Yzeren Tulp,Ab Baars And Terrie Ex,Jazz,5,0
Stokdutter,Ab Baars And Terrie Ex,Jazz,4,0
Termiet,Ab Baars And Terrie Ex,Jazz,4,0
Kryzeltanden I,Ab Baars And Terrie Ex,Jazz,4,0
Kryzeltanden II,Ab Baars And Terrie Ex,Jazz,5,0
Grameel,Ab Baars And Terrie Ex,Jazz,4,0
En Route To The Blanchisserie,ABBC,Rock,3,1
Orange Trees In The Yard,ABBC,Rock,3,1
Pluie Sans Nuages,ABBC,Rock,3,1
Coral Reef,Adrien75,Electronic,3,1
Spanish Flangdang,Advance Base,Indie Rock,3,1
Onze De France,Afro Latin Vintage Orchestra,Jazz,4,1
Waltz For Debby (Live),Ahmad Jamal,Jazz,4,1
Ya Annas (Oh; People),Ahmed Abdul-Malik,Jazz,4,1
Farah' Alaiyna (Joy Upon Us),Ahmed Abdul-Malik,Jazz,4,1
The Hustlers,Ahmed Abdul-Malik,Jazz,4,1
La Ibkey,Ahmed Abdul-Malik,Jazz,4,1
African Bossa Nova,Ahmed Abdul-Malik,Jazz,4,1
Nadusilima,Ahmed Abdul-Malik,Jazz,4,1
Communication,Ahmed Abdul-Malik,Jazz,4,1
Akonodey,Akan Adowa Musicians,Folk,4,1
Jelili (Lelili),Akbar Jaffarov & Museyib Abbasov,World Music,4,1
Sally Anne,Alan Lomax & Norman Edmonds & The Old-Timers,Folk,4,1
Bonnie Lass Among The Heather,Alasdair Roberts,Folk,2,0
The Bloody Fields Of Flanders / The Red Haired Boy,Alasdair Roberts / Jackie Oates,World Music,3,1
Mrs. MacDonald Of Dunacht / Cunnla Larach Do Thaicaidean,Alasdair Roberts / Jackie Oates,World Music,4,1
Hard Is My Fate / Traveller's Joy,Alasdair Roberts / Jackie Oates,World Music,3,1
Hyperboreans,Alasdair Roberts / Jackie Oates,World Music,3,0
Shiver 'N Shake,Albert Collins,Rock,4,1
John Dory,The Albion Band,Folk,4,0
The Girl I Left Behind,The Albion Band,Rock,4,1
B4391/1-95,The Albion Band,Folk,3,1
Uncle Bernard's/Jenny Lind,The Albion Dance Band,Folk,4,1
The Hunt Is Up (Live),The Albion Dance Band,Folk,3,0
Varsovinna,The Albion Dance Band,Folk,3,1
Masque,The Albion Dance Band,Folk,3,1
Huntsman's Chorus (Live),The Albion Dance Band,Folk,4,0
Minuet,The Albion Dance Band,Folk,2,1
Wassail Song,The Albion Dance Band,Folk,4,0
Picking Of Sticks/The Old Mole (Live),The Albion Dance Band,Folk,3,1
Merry Sherwood Rangers (Live),The Albion Dance Band,Folk,3,0
La Sexte Estampie Real,The Albion Dance Band,Folk,3,1
I Wish I Was Single Again,The Albion Dance Band,Folk,5,0
The Whim,The Albion Dance Band,Folk,4,1
Hopping Down In Kent,The Albion Dance Band,Folk,4,0
Horse's Brawl (Live),The Albion Dance Band,Folk,4,1
On Christmas Night All Christians Sing,The Albion Dance Band,Folk,4,0
Merry Sherwood Rangers,The Albion Dance Band,Folk,3,1
Within Dreams,The Album Leaf,Electronic,3,1
Wichita Vortex Sutra,Aleck Karis,Classical,4,1
Metamorphosis I,Aleck Karis,Classical,4,1
Metamorphosis II,Aleck Karis,Classical,3,1
Metamorphosis V,Aleck Karis,Classical,4,1
Mad Rush,Aleck Karis,Classical,4,1
Opening,Aleck Karis,Classical,3,1
Earth Spirits (Edit),Alejandra & Aeron,Art Music,4,1
Mr. Fox In The Fields,Alexandre Desplat,Soundtrack Music,3,1
High-Speed French Train,Alexandre Desplat,Soundtrack Music,3,1
Whack-Bat Majorette,Alexandre Desplat,Soundtrack Music,4,1
Bean's Secret Cider Cellar,Alexandre Desplat,Soundtrack Music,4,1
Kristofferson's Theme,Alexandre Desplat,Soundtrack Music,3,1
Just Another Dead Rat In A Garbage Pail (Behind A Chinese Restaurant),Alexandre Desplat,Soundtrack Music,4,1
Canis Lupus,Alexandre Desplat,Soundtrack Music,3,1
The Doge's Decree - Concerto In C Major,Alexandre Desplat,Classical,4,1
Suite Bergamasque: 3. Clair de Lune,Alexis Weissenberg,Classical,3,1
Kadi Kadi,Ali Farka Touré & Toumani Diabeté,World Music,4,1
Tala Pashto (Live),Alla Rakha & Zakir Hussain,World Music,4,1
Lonesome Dove,Almeda Riddle,Folk,3,0
Cloud One,The Alps,Indie Rock,4,1
Interlude (Ripe & Ruin),Alt-J,Indie Rock,3,0
Interlude (Guitar),Alt-J,Indie Rock,2,1
Sarod 2,Amaan & Ayaan Ali Bangash,World Music,4,1
Lullaby,Amisaada Ramdane,World Music,3,1
Hymn For The Hardcore,Amon Düül,Rock,4,1
Cerberus,Amon Düül 2,Rock,5,1
The Nasty,Amon Tobin,Electronic,4,0
Bitter & Twisted,Amon Tobin,Electronic,4,1
Nightlife,Amon Tobin,Electronic,4,0
Bridge,Amon Tobin,Electronic,4,1
Reanimator,Amon Tobin,Electronic,5,0
Sordid,Amon Tobin,Electronic,5,1
Switch,Amon Tobin,Electronic,5,0
Sultan Drops,Amon Tobin,Electronic,5,1
Toys,Amon Tobin,Electronic,4,0
Slowly,Amon Tobin,Electronic,3,1
Golfer Vrs Boxer,Amon Tobin,Electronic,5,0
Saboteur,Amon Tobin,Electronic,4,1
Keepin' It Steel (The Anvil ),Amon Tobin,Electronic,4,0
Only,Amor Belhom Duo,Rock,4,1
Sube,Ana Tijoux,Hip-Hop,4,0
Beethoven: Piano Sonata #13 In E Flat; Op.27/1; 'Sonata Quasi Una Fantasia' - 3. Adagio Con Espressione,André Watts,Classical,2,1
Beethoven: Piano Sonata #23 In F Minor; Op. 57; 'Appassionata' - 3. Allegro Ma Non Troppo,André Watts,Classical,5,1
Boo; Maramba!,Andrea Merkel,World Music,3,1
Aus 40 Clavierstücke für die Jugend; Op.68: 14. Kleine Studi,Andreas Staier,Classical,3,1
The Supine,Andrew Bird,Indie Rock,3,1
Yawny At The Apocalypse,Andrew Bird,Indie Rock,2,1
St. Francis Reel,Andrew Bird,Rock,4,1
On Ho,Andrew Bird,Rock,2,1
<--,Andrew Bird,Indie Rock,3,1
4501,Andrew Duke,Electronic,4,1
Prologue,Andrew Morgan,Indie Rock,3,1
Numb,Andy Stott,Indie Rock,4,1
Requiem Per Un Gringo: Pistols Galore,Angleo Francesco Lavagnino,Soundtrack Music,3,1
Used Cars,Ani DiFranco,Rock,2,0
Mi gran noche,Aniceto y sus Fabulosos,World Music,4,1
Dvorˇák: Cello Concerto In B Minor; Op. 104 - 1. Allegro,Antonín Dvorˇák,Classical,5,1
Vivo Sonhando,Antonio Carlos Jobim,World Music,3,0
The 4 Seasons; Violin Concerto in E Major; Op. 8; No. 1; RV 269; 'La Primavera' (Spring): I. Allegro,Antonio Vivaldi,Classical,4,1
Concerto In B Flat Major; RV 579; 'Concerto Funebre': I. Largo,Antonio Vivaldi,Classical,4,1
Embers,Aphex Twin,Classical,3,1
Flim,Aphex Twin,Electronic,4,1
Pancake Lizard,Aphex Twin,Electronic,3,1
Acrid Avid Jam Shred,Aphex Twin,Electronic,4,1
The Waxen Pith,Aphex Twin,Electronic,3,1
Come On You Slags,Aphex Twin,Electronic,5,0
Start As You Mean To Go On,Aphex Twin,Electronic,5,0
Wet Tip Hen Ax,Aphex Twin,Electronic,4,0
Alberto Balsalm,Aphex Twin,Electronic,4,1
Goon Gumpas,Aphex Twin,Electronic,4,1
Girl/Boy Song,Aphex Twin,Electronic,4,1
Logon Rock Witch,Aphex Twin,Electronic,4,0
Inkey$,Aphex Twin,Electronic,4,0
Harvester Of Sorrow,Apocalyptica,Classical,4,1
Creeping Death,Apocalyptica,Classical,4,1
The Actuation Riddle,Appendix Out,Rock,3,1
Fingernail Moon,Appendix Out,Rock,3,1
The Waking Of Pertelotte,The Appleseed Cast,Indie Rock,4,1
Bird Of Paradise,The Appleseed Cast,Indie Rock,4,1
The Bay,Archer Prewitt,Rock,3,1
Waves Waltz,Archer Prewitt,Rock,3,1
Acromegaly,Archers Of Loaf,Indie Rock,4,1
Smokin' Pot In The Hot City,Archers Of Loaf,Indie Rock,4,1
The Breeze And I (Live) (Version 1),Art Blakey,Jazz,4,1
The Summit (Live),Art Blakey & The Jazz Messengers,Jazz,4,1
The Breeze And I (Live) (Version 2),Art Blakey & The Jazz Messengers,Jazz,4,1
How Deep Is The Ocean (Live),Art Blakey & The Jazz Messengers Featuring Wynton Marsalis And Bobby Watson,Jazz,4,1
Finger Lickin' Good,Art Jerry Miller,Soul,3,1
Night And Day,Art Tatum,Soundtrack Music,3,1
Fratres For Violin; Strings And Percussion,Arvo Pärt,Classical,5,1
Festina Lente For Strings And Harp Ad Libitum,Arvo Pärt,Classical,4,1
Fratres For String Quartet,Arvo Pärt,Classical,3,1
Fratres For Cello And Piano,Arvo Pärt,Classical,4,1
Fratres For Eight Cellos,Arvo Pärt,Classical,4,0
Cantus In Memory Of Benjamin Britten For Strings And Bells,Arvo Pärt,Classical,4,1
Bois De Soleil,Ash Ra Tempel,Electronic,3,1
Raga Bagesri,Ashok Pathak,World Music,4,1
Lamma Roohi Bit-Dunmak,Ashraf Sewailam,World Music,2,0
Lullaby,Ashraf Sewailam,World Music,3,1
Kiss The Midwest For Me,At Right Angles,Rock,2,1
Let The Blind…,Atlas Sound,Ambient Rock,4,1
Old Mission,Auburn Lull,Indie Rock,3,1
La Collera Del Vento: M 9 And M 15 V,Augusto Martelli,Soundtrack Music,4,0
Let Us Face The Evening Skies With Child-Like Eyes,Aural Method,Ambient Rock,3,1
Somehow (Sound Sketch),Aural Method,Ambient Rock,3,1
Tongues (Sound Sketch),Aural Method,Ambient Rock,4,1
The Scratch,Baba Brooks & His Recording Band,Ska,3,1
Sugar Colt (1967) / Orchestral Suite,Bacalov,Soundtrack Music,4,0
Gold Of The Proud Ones (1969) / Memories,Bacalov,Soundtrack Music,4,1
Intro,Bad Brains,Punk,4,1
Bewilder,Badly Drawn Boy,Rock,4,1
Bowsprit,Balmorhea,Classical,3,1
1/2 (Live),Bang On A Can All-Stars,Electronic,2,1
2/2 (Live),Bang On A Can All-Stars,Electronic,3,1
Sentence,Bardo Pond,Indie Rock,5,1
Vent,Bardo Pond,Indie Rock,5,1
Amen,Bardo Pond,Indie Rock,4,1
Hum,Bardo Pond,Indie Rock,3,1
Ganges,Bardo Pond,Indie Rock,4,1
Repeal Of The Union/The Banks Of Ireland/Miss Crawford,Bards Of A Feather,Folk,4,1
The Long Shadow,Barn Owl,Art Music,4,1
Greg.,Barr,Indie Rock,5,1
Everyone,Barr,Indie Rock,4,1
I Can't Breathe,Barry Black,Rock,4,1
Polonaise From Sexdrega,Bäsk,World Music,4,1
The Sifter,Bastro,Rock,5,0
Recidivist (Version 2),Bastro,Rock,5,0
B + T,Battles,Indie Rock,5,0
UW,Battles,Indie Rock,4,0
